iteration,scenario,samples,cpu_avg_millicores,cpu_max_millicores,mem_avg_bytes,mem_max_bytes,nav_avg_ms,nav_p50_ms,nav_p95_ms,nav_max_ms
1,B,48,3658,5255,2533883904,2690646016,2236.96,2229.87,2388.32,2445.47
2,A,51,3388,4313,3058264425,4615831552,2325.0,2340.78,2497.36,2536.85
3,B,47,4282,5527,2636097753,2687500288,2226.32,2186.34,2508.83,2583.5
4,A,54,3611,4703,3584692982,4534042624,2398.52,2414.39,2541.69,2700.01
5,B,47,3680,5076,2607206138,2641362944,2230.0,2207.21,2449.28,2573.91
6,A,54,3961,4437,3721726331,4517265408,2390.95,2400.56,2533.51,2567.57
7,B,47,4300,5183,2647966741,2671771648,2237.81,2225.99,2443.23,2535.37
8,A,50,4158,4599,3887176089,4596957184,2324.31,2328.52,2626.91,2696.57
9,B,46,3758,5349,2244773264,2680160256,2218.0,2206.73,2448.03,2544.18
10,A,48,3878,4552,4029044053,4628414464,2252.0,2231.45,2443.83,2677.33
11,B,46,3307,5642,2630238920,2643460096,2208.33,2189.69,2433.54,2504.11
12,A,51,3614,4568,3630396275,4607442944,2333.55,2352.27,2488.42,2562.23
